Regioncode,Regionname,Localauthoritycode,Localauthorityname,OwnedOutright,OwnedwithMortgageorLoan,PrivateRent,SocialRent
E12000008,South East,E07000112,Folkestone and Hythe,38.92,26.44,23.84,10.8
E12000008,South East,E07000113,Swale,35.69,33.13,17.69,13.49
E12000008,South East,E07000114,Thanet,37.2,25.73,25.22,11.85
E12000008,South East,E07000115,Tonbridge and Malling,36.75,34.66,12.65,15.94
E12000008,South East,E07000116,Tunbridge Wells,36.14,30.31,19.4,14.15
E12000008,South East,E07000177,Cherwell,34.55,33.5,18.68,13.27
E12000008,South East,E07000178,Oxford,27.28,21.82,29.27,21.63
E12000008,South East,E07000179,South Oxfordshire,40.79,31.63,15.93,11.65
E12000008,South East,E07000180,Vale of White Horse,39.6,30.91,16.43,13.06
E12000008,South East,E07000181,West Oxfordshire,38.39,31.7,17.66,12.25
E12000008,South East,E07000207,Elmbridge,38.48,34.34,17.6,9.58
E12000008,South East,E07000208,Epsom and Ewell,40.91,35.36,15.43,8.300000000000001
E12000008,South East,E07000209,Guildford,37.57,31.57,18.09,12.77
E12000008,South East,E07000210,Mole Valley,42.97,30.93,14.57,11.53
E12000008,South East,E07000211,Reigate and Banstead,37.53,35.58,15.22,11.67
E12000008,South East,E07000212,Runnymede,36.43,31.87,17.45,14.25
E12000008,South East,E07000213,Spelthorne,37.79,34.35,14.87,12.99
E12000008,South East,E07000214,Surrey Heath,38.47,36.32,14.35,10.86
E12000008,South East,E07000215,Tandridge,40.2,34.96,13.68,11.16
E12000008,South East,E07000216,Waverley,41.68,32.21,14.37,11.74
E12000008,South East,E07000217,Woking,35.88,34.54,17.88,11.7
E12000008,South East,E07000223,Adur,41.64,31.75,13.89,12.72
E12000008,South East,E07000224,Arun,45.78,27.71,17.32,9.19
E12000008,South East,E07000225,Chichester,43.26,24.2,17.71,14.83
E12000008,South East,E07000226,Crawley,26.54,33.66,17.18,22.62
E12000008,South East,E07000227,Horsham,41.21,32.83,14.55,11.41
E12000008,South East,E07000228,Mid Sussex,38.71,33.56,15.05,12.68
E12000008,South East,E07000229,Worthing,38.8,30.65,21.1,9.449999999999999
E12000009,South West,E06000022,Bath and North East Somerset,38.11,27.68,20.06,14.15
E12000009,South West,E06000023,"Bristol, City of",27.65,26.03,26.14,20.18
E12000009,South West,E06000024,North Somerset,40.12,31.49,19.22,9.17
E12000009,South West,E06000025,South Gloucestershire,37.84,34.63,16.71,10.82
E12000009,South West,E06000026,Plymouth,30.11,27.45,22.59,19.85
E12000009,South West,E06000027,Torbay,39.25,26.99,25.54,8.220000000000001
E12000009,South West,E06000030,Swindon,29.75,35.24,19.2,15.81
E12000009,South West,E06000052,Cornwall,42.63,25.71,20.13,11.53
E12000009,South West,E06000054,Wiltshire,37.19,29.66,18.97,14.18
E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole",36.6,28,25.12,10.28
E12000009,South West,E06000059,Dorset,45.09,25.88,17.14,11.89
E12000009,South West,E07000040,East Devon,48.93,24.62,16.84,9.609999999999999
E12000009,South West,E07000041,Exeter,32.94,26.34,23.56,17.16
E12000009,South West,E07000042,Mid Devon,40.37,28.31,19.26,12.06
E12000009,South West,E07000043,North Devon,41.77,26.04,21.7,10.49
E12000009,South West,E07000044,South Hams,45.79,26.34,17.78,10.09
E12000009,South West,E07000045,Teignbridge,43.49,28.85,18.51,9.15
E12000009,South West,E07000046,Torridge,45.41,25.52,20.54,8.529999999999999
E12000009,South West,E07000047,West Devon,46.13,25.73,18.33,9.81
E12000009,South West,E07000078,Cheltenham,35.2,28.42,24.02,12.36
E12000009,South West,E07000079,Cotswold,40.52,25.32,19.91,14.25
E12000009,South West,E07000080,Forest of Dean,43.32,28.9,14.56,13.22
E12000009,South West,E07000081,Gloucester,32.44,32.9,20.08,14.58
E12000009,South West,E07000082,Stroud,41.23,30.67,15.41,12.69
E12000009,South West,E07000083,Tewkesbury,41.23,31.1,15.49,12.18
E12000009,South West,E07000187,Mendip,40.38,28.52,18.82,12.28
E12000009,South West,E07000188,Sedgemoor,40.14,29.16,17.63,13.07
E12000009,South West,E07000189,South Somerset,40.75,27.73,16.6,14.92
E12000009,South West,E07000246,Somerset West and Taunton,39.98,25.95,18.91,15.16
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
