areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,27/05/2021,3639
K02000001,United Kingdom,overview,26/05/2021,3800
K02000001,United Kingdom,overview,25/05/2021,3308
K02000001,United Kingdom,overview,24/05/2021,3237
K02000001,United Kingdom,overview,23/05/2021,2242
K02000001,United Kingdom,overview,22/05/2021,1926
K02000001,United Kingdom,overview,21/05/2021,2295
K02000001,United Kingdom,overview,20/05/2021,2425
K02000001,United Kingdom,overview,19/05/2021,2712
K02000001,United Kingdom,overview,18/05/2021,2709
K02000001,United Kingdom,overview,17/05/2021,2765
K02000001,United Kingdom,overview,16/05/2021,1853
K02000001,United Kingdom,overview,15/05/2021,1583
K02000001,United Kingdom,overview,14/05/2021,1851
K02000001,United Kingdom,overview,13/05/2021,2096
K02000001,United Kingdom,overview,12/05/2021,2231
K02000001,United Kingdom,overview,11/05/2021,2200
K02000001,United Kingdom,overview,10/05/2021,2657
K02000001,United Kingdom,overview,09/05/2021,2172
K02000001,United Kingdom,overview,08/05/2021,1510
K02000001,United Kingdom,overview,07/05/2021,1883
K02000001,United Kingdom,overview,06/05/2021,2167
K02000001,United Kingdom,overview,05/05/2021,2396
K02000001,United Kingdom,overview,04/05/2021,2405
K02000001,United Kingdom,overview,03/05/2021,1973
K02000001,United Kingdom,overview,02/05/2021,1425
K02000001,United Kingdom,overview,01/05/2021,1357
K02000001,United Kingdom,overview,30/04/2021,1704
K02000001,United Kingdom,overview,29/04/2021,2085
K02000001,United Kingdom,overview,28/04/2021,2361
K02000001,United Kingdom,overview,27/04/2021,2058
K02000001,United Kingdom,overview,26/04/2021,2444
K02000001,United Kingdom,overview,25/04/2021,1993
K02000001,United Kingdom,overview,24/04/2021,1464
K02000001,United Kingdom,overview,23/04/2021,1891
K02000001,United Kingdom,overview,22/04/2021,2254
K02000001,United Kingdom,overview,21/04/2021,2543
K02000001,United Kingdom,overview,20/04/2021,2365
K02000001,United Kingdom,overview,19/04/2021,2602
K02000001,United Kingdom,overview,18/04/2021,2439
K02000001,United Kingdom,overview,17/04/2021,1638
K02000001,United Kingdom,overview,16/04/2021,2353
K02000001,United Kingdom,overview,15/04/2021,2188
K02000001,United Kingdom,overview,14/04/2021,2404
K02000001,United Kingdom,overview,13/04/2021,2332
K02000001,United Kingdom,overview,12/04/2021,2714
K02000001,United Kingdom,overview,11/04/2021,2257
K02000001,United Kingdom,overview,10/04/2021,2259
K02000001,United Kingdom,overview,09/04/2021,2786
K02000001,United Kingdom,overview,08/04/2021,2983
K02000001,United Kingdom,overview,07/04/2021,3081
K02000001,United Kingdom,overview,06/04/2021,3117
K02000001,United Kingdom,overview,05/04/2021,2616
K02000001,United Kingdom,overview,04/04/2021,2294
K02000001,United Kingdom,overview,03/04/2021,2403
K02000001,United Kingdom,overview,02/04/2021,2627
K02000001,United Kingdom,overview,01/04/2021,3469
K02000001,United Kingdom,overview,31/03/2021,3773
K02000001,United Kingdom,overview,30/03/2021,3595
K02000001,United Kingdom,overview,29/03/2021,3968
K02000001,United Kingdom,overview,28/03/2021,4657
K02000001,United Kingdom,overview,27/03/2021,3541
K02000001,United Kingdom,overview,26/03/2021,4390
K02000001,United Kingdom,overview,25/03/2021,5402
K02000001,United Kingdom,overview,24/03/2021,6015
K02000001,United Kingdom,overview,23/03/2021,5259
K02000001,United Kingdom,overview,22/03/2021,6203
K02000001,United Kingdom,overview,21/03/2021,5233
K02000001,United Kingdom,overview,20/03/2021,4102
K02000001,United Kingdom,overview,19/03/2021,4997
K02000001,United Kingdom,overview,18/03/2021,5478
K02000001,United Kingdom,overview,17/03/2021,5771
K02000001,United Kingdom,overview,16/03/2021,5674
K02000001,United Kingdom,overview,15/03/2021,6503
K02000001,United Kingdom,overview,14/03/2021,4301
K02000001,United Kingdom,overview,13/03/2021,4245
K02000001,United Kingdom,overview,12/03/2021,5589
K02000001,United Kingdom,overview,11/03/2021,5770
K02000001,United Kingdom,overview,10/03/2021,6037
K02000001,United Kingdom,overview,09/03/2021,6227
K02000001,United Kingdom,overview,08/03/2021,6643
K02000001,United Kingdom,overview,07/03/2021,4284
K02000001,United Kingdom,overview,06/03/2021,4504
K02000001,United Kingdom,overview,05/03/2021,5301
K02000001,United Kingdom,overview,04/03/2021,5726
K02000001,United Kingdom,overview,03/03/2021,5973
K02000001,United Kingdom,overview,02/03/2021,6654
K02000001,United Kingdom,overview,01/03/2021,6876
K02000001,United Kingdom,overview,28/02/2021,4715
K02000001,United Kingdom,overview,27/02/2021,4816
K02000001,United Kingdom,overview,26/02/2021,6567
K02000001,United Kingdom,overview,25/02/2021,7720
K02000001,United Kingdom,overview,24/02/2021,8544
K02000001,United Kingdom,overview,23/02/2021,9380
K02000001,United Kingdom,overview,22/02/2021,11240
K02000001,United Kingdom,overview,21/02/2021,7868
K02000001,United Kingdom,overview,20/02/2021,8053
K02000001,United Kingdom,overview,19/02/2021,10382
K02000001,United Kingdom,overview,18/02/2021,11410
K02000001,United Kingdom,overview,17/02/2021,11560
K02000001,United Kingdom,overview,16/02/2021,12484
K02000001,United Kingdom,overview,15/02/2021,14267
K02000001,United Kingdom,overview,14/02/2021,8752
K02000001,United Kingdom,overview,13/02/2021,8758
K02000001,United Kingdom,overview,12/02/2021,12161
K02000001,United Kingdom,overview,11/02/2021,12737
K02000001,United Kingdom,overview,10/02/2021,13479
K02000001,United Kingdom,overview,09/02/2021,13797
K02000001,United Kingdom,overview,08/02/2021,15704
K02000001,United Kingdom,overview,07/02/2021,11373
K02000001,United Kingdom,overview,06/02/2021,11957
K02000001,United Kingdom,overview,05/02/2021,15844
K02000001,United Kingdom,overview,04/02/2021,17955
K02000001,United Kingdom,overview,03/02/2021,19392
K02000001,United Kingdom,overview,02/02/2021,19750
K02000001,United Kingdom,overview,01/02/2021,22328
K02000001,United Kingdom,overview,31/01/2021,15369
K02000001,United Kingdom,overview,30/01/2021,16667
K02000001,United Kingdom,overview,29/01/2021,21766
K02000001,United Kingdom,overview,28/01/2021,24130
K02000001,United Kingdom,overview,27/01/2021,25668
K02000001,United Kingdom,overview,26/01/2021,26966
K02000001,United Kingdom,overview,25/01/2021,29900
K02000001,United Kingdom,overview,24/01/2021,17153
K02000001,United Kingdom,overview,23/01/2021,21819
K02000001,United Kingdom,overview,22/01/2021,29518
K02000001,United Kingdom,overview,21/01/2021,31649
K02000001,United Kingdom,overview,20/01/2021,35062
K02000001,United Kingdom,overview,19/01/2021,39453
K02000001,United Kingdom,overview,18/01/2021,44759
K02000001,United Kingdom,overview,17/01/2021,28841
K02000001,United Kingdom,overview,16/01/2021,30519
K02000001,United Kingdom,overview,15/01/2021,40378
K02000001,United Kingdom,overview,14/01/2021,42368
K02000001,United Kingdom,overview,13/01/2021,45392
K02000001,United Kingdom,overview,12/01/2021,49369
K02000001,United Kingdom,overview,11/01/2021,57097
K02000001,United Kingdom,overview,10/01/2021,36327
K02000001,United Kingdom,overview,09/01/2021,39080
K02000001,United Kingdom,overview,08/01/2021,46978
K02000001,United Kingdom,overview,07/01/2021,51955
K02000001,United Kingdom,overview,06/01/2021,57375
K02000001,United Kingdom,overview,05/01/2021,65079
K02000001,United Kingdom,overview,04/01/2021,76140
K02000001,United Kingdom,overview,03/01/2021,55161
K02000001,United Kingdom,overview,02/01/2021,60426
K02000001,United Kingdom,overview,01/01/2021,31831
K02000001,United Kingdom,overview,31/12/2020,52778
K02000001,United Kingdom,overview,30/12/2020,70753
K02000001,United Kingdom,overview,29/12/2020,81477
K02000001,United Kingdom,overview,28/12/2020,45574
K02000001,United Kingdom,overview,27/12/2020,47692
K02000001,United Kingdom,overview,26/12/2020,40367
K02000001,United Kingdom,overview,25/12/2020,14169
K02000001,United Kingdom,overview,24/12/2020,31801
K02000001,United Kingdom,overview,23/12/2020,42163
K02000001,United Kingdom,overview,22/12/2020,45647
K02000001,United Kingdom,overview,21/12/2020,47355
K02000001,United Kingdom,overview,20/12/2020,32443
K02000001,United Kingdom,overview,19/12/2020,25140
K02000001,United Kingdom,overview,18/12/2020,35825
K02000001,United Kingdom,overview,17/12/2020,33894
K02000001,United Kingdom,overview,16/12/2020,34903
K02000001,United Kingdom,overview,15/12/2020,33838
K02000001,United Kingdom,overview,14/12/2020,34701
K02000001,United Kingdom,overview,13/12/2020,21981
K02000001,United Kingdom,overview,12/12/2020,19354
K02000001,United Kingdom,overview,11/12/2020,24053
K02000001,United Kingdom,overview,10/12/2020,22599
K02000001,United Kingdom,overview,09/12/2020,21600
K02000001,United Kingdom,overview,08/12/2020,20775
K02000001,United Kingdom,overview,07/12/2020,21321
K02000001,United Kingdom,overview,06/12/2020,13571
K02000001,United Kingdom,overview,05/12/2020,12732
K02000001,United Kingdom,overview,04/12/2020,15657
K02000001,United Kingdom,overview,03/12/2020,15622
K02000001,United Kingdom,overview,02/12/2020,16470
K02000001,United Kingdom,overview,01/12/2020,16447
K02000001,United Kingdom,overview,30/11/2020,18004
K02000001,United Kingdom,overview,29/11/2020,10681
K02000001,United Kingdom,overview,28/11/2020,10956
K02000001,United Kingdom,overview,27/11/2020,14362
K02000001,United Kingdom,overview,26/11/2020,14567
K02000001,United Kingdom,overview,25/11/2020,16609
K02000001,United Kingdom,overview,24/11/2020,16452
K02000001,United Kingdom,overview,23/11/2020,18767
K02000001,United Kingdom,overview,22/11/2020,11733
K02000001,United Kingdom,overview,21/11/2020,12348
K02000001,United Kingdom,overview,20/11/2020,16843
K02000001,United Kingdom,overview,19/11/2020,17746
