areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,24/03/2020,2369
K02000001,United Kingdom,overview,23/03/2020,2322
K02000001,United Kingdom,overview,22/03/2020,1373
K02000001,United Kingdom,overview,21/03/2020,1191
K02000001,United Kingdom,overview,20/03/2020,1258
K02000001,United Kingdom,overview,19/03/2020,1049
K02000001,United Kingdom,overview,18/03/2020,992
K02000001,United Kingdom,overview,17/03/2020,787
K02000001,United Kingdom,overview,16/03/2020,603
K02000001,United Kingdom,overview,15/03/2020,441
K02000001,United Kingdom,overview,14/03/2020,362
K02000001,United Kingdom,overview,13/03/2020,480
K02000001,United Kingdom,overview,12/03/2020,482
K02000001,United Kingdom,overview,11/03/2020,403
K02000001,United Kingdom,overview,10/03/2020,266
K02000001,United Kingdom,overview,09/03/2020,147
K02000001,United Kingdom,overview,08/03/2020,57
K02000001,United Kingdom,overview,07/03/2020,67
K02000001,United Kingdom,overview,06/03/2020,81
K02000001,United Kingdom,overview,05/03/2020,50
K02000001,United Kingdom,overview,04/03/2020,56
K02000001,United Kingdom,overview,03/03/2020,57
K02000001,United Kingdom,overview,02/03/2020,39
K02000001,United Kingdom,overview,01/03/2020,22
K02000001,United Kingdom,overview,29/02/2020,5
K02000001,United Kingdom,overview,28/02/2020,12
K02000001,United Kingdom,overview,27/02/2020,8
K02000001,United Kingdom,overview,26/02/2020,4
K02000001,United Kingdom,overview,25/02/2020,5
K02000001,United Kingdom,overview,24/02/2020,2
K02000001,United Kingdom,overview,23/02/2020,1
K02000001,United Kingdom,overview,22/02/2020,0
K02000001,United Kingdom,overview,21/02/2020,1
K02000001,United Kingdom,overview,20/02/2020,0
K02000001,United Kingdom,overview,19/02/2020,0
K02000001,United Kingdom,overview,18/02/2020,0
K02000001,United Kingdom,overview,17/02/2020,0
K02000001,United Kingdom,overview,16/02/2020,0
K02000001,United Kingdom,overview,15/02/2020,0
K02000001,United Kingdom,overview,14/02/2020,0
K02000001,United Kingdom,overview,13/02/2020,0
K02000001,United Kingdom,overview,12/02/2020,0
K02000001,United Kingdom,overview,11/02/2020,1
K02000001,United Kingdom,overview,10/02/2020,0
K02000001,United Kingdom,overview,09/02/2020,1
K02000001,United Kingdom,overview,08/02/2020,4
K02000001,United Kingdom,overview,07/02/2020,0
K02000001,United Kingdom,overview,06/02/2020,0
K02000001,United Kingdom,overview,05/02/2020,1
K02000001,United Kingdom,overview,04/02/2020,0
K02000001,United Kingdom,overview,03/02/2020,0
K02000001,United Kingdom,overview,02/02/2020,0
K02000001,United Kingdom,overview,01/02/2020,0
K02000001,United Kingdom,overview,31/01/2020,0
K02000001,United Kingdom,overview,30/01/2020,2
