RegionName,date,HouseRegionMedianPrice
Yorkshire and The Humber, 6/30/2001,58000
Yorkshire and The Humber, 9/30/2001,59000
Yorkshire and The Humber,12/31/2001,59950
Yorkshire and The Humber, 3/31/2002,60000
Yorkshire and The Humber, 6/30/2002,64000
Yorkshire and The Humber, 9/30/2002,66950
Yorkshire and The Humber,12/31/2002,70000
Yorkshire and The Humber, 3/31/2003,74000
Yorkshire and The Humber, 6/30/2003,77995
Yorkshire and The Humber, 9/30/2003,82500
Yorkshire and The Humber,12/31/2003,87950
Yorkshire and The Humber, 3/31/2004,91000
Yorkshire and The Humber, 6/30/2004,98000
Yorkshire and The Humber, 9/30/2004,105000
Yorkshire and The Humber,12/31/2004,110000
Yorkshire and The Humber, 3/31/2005,115000
Yorkshire and The Humber, 6/30/2005,116150
Yorkshire and The Humber, 9/30/2005,118250
Yorkshire and The Humber,12/31/2005,119995
Yorkshire and The Humber, 3/31/2006,120000
Yorkshire and The Humber, 6/30/2006,123500
Yorkshire and The Humber, 6/30/2009,125000
Yorkshire and The Humber, 9/30/2006,125000
Yorkshire and The Humber, 9/30/2009,126500
Yorkshire and The Humber, 3/31/2009,127497.5
Yorkshire and The Humber,12/31/2006,128500
Yorkshire and The Humber, 3/31/2007,130000
Yorkshire and The Humber, 6/30/2012,130000
Yorkshire and The Humber, 9/30/2011,130000
Yorkshire and The Humber, 9/30/2012,130000
Yorkshire and The Humber,12/31/2012,130000
Yorkshire and The Humber, 3/31/2012,130000
Yorkshire and The Humber, 6/30/2013,130000
Yorkshire and The Humber,12/31/2009,130000
Yorkshire and The Humber,12/31/2008,130000
Yorkshire and The Humber,12/31/2011,130000
Yorkshire and The Humber, 3/31/2013,130000
Yorkshire and The Humber, 3/31/2010,131000
Yorkshire and The Humber, 6/30/2011,132000
Yorkshire and The Humber, 9/30/2013,132000
Yorkshire and The Humber, 6/30/2007,132000
Yorkshire and The Humber, 9/30/2008,134000
Yorkshire and The Humber, 9/30/2007,134500
Yorkshire and The Humber, 3/31/2011,134500
Yorkshire and The Humber,12/31/2013,134950
Yorkshire and The Humber,12/31/2010,135000
Yorkshire and The Humber, 6/30/2008,135000
Yorkshire and The Humber, 6/30/2010,135000
Yorkshire and The Humber, 9/30/2010,135000
Yorkshire and The Humber,12/31/2007,135000
Yorkshire and The Humber, 3/31/2014,135000
Yorkshire and The Humber, 3/31/2008,136000
Yorkshire and The Humber, 6/30/2014,137000
Yorkshire and The Humber, 9/30/2014,138500
Yorkshire and The Humber,12/31/2014,139995
Yorkshire and The Humber, 3/31/2015,140000
Yorkshire and The Humber, 6/30/2015,140500
Yorkshire and The Humber, 9/30/2015,143000
Yorkshire and The Humber, 3/31/2016,145000
Yorkshire and The Humber,12/31/2015,145000
Yorkshire and The Humber, 6/30/2016,147500
Yorkshire and The Humber, 9/30/2016,149950
Yorkshire and The Humber,12/31/2016,150000
Yorkshire and The Humber, 3/31/2017,152000
Yorkshire and The Humber, 6/30/2017,154000
Yorkshire and The Humber, 9/30/2017,155000
Yorkshire and The Humber,12/31/2017,155000
Yorkshire and The Humber,  4/1/2018,157000
Yorkshire and The Humber,  6/1/2018,158000
Yorkshire and The Humber,  9/1/2018,160000
Yorkshire and The Humber, 12/1/2018,160000
Yorkshire and The Humber,  3/1/2019,161000
Yorkshire and The Humber,  6/1/2019,162500
Yorkshire and The Humber,  9/1/2019,164950
Yorkshire and The Humber, 12/1/2019,165000
Yorkshire and The Humber,  3/1/2020,167000
Yorkshire and The Humber,  6/1/2020,167500
Yorkshire and The Humber,  9/1/2020,170000
Yorkshire and The Humber, 12/1/2020,173000
Yorkshire and The Humber,  3/1/2021,180000
