RegionName,date,HouseRegionMedianPrice
East of England, 3/31/2014,200000
East of England,12/31/2013,200000
East of England, 6/30/2014,205000
East of England, 9/30/2014,210000
East of England,12/31/2014,215000
East of England, 3/31/2015,220000
East of England, 6/30/2015,225000
East of England, 9/30/2015,230000
East of England,12/31/2015,238000
East of England, 3/31/2016,240000
East of England, 6/30/2016,247000
East of England, 9/30/2016,250000
East of England,12/31/2016,258000
East of England, 3/31/2017,265000
East of England, 6/30/2017,270000
East of England, 9/30/2017,275000
East of England,12/31/2017,278000
East of England,  4/1/2018,280000
East of England,  6/1/2018,280000
East of England,  9/1/2018,284995
East of England, 12/1/2018,285000
East of England,  3/1/2019,285000
East of England,  6/1/2019,287000
East of England,  9/1/2019,287500
East of England, 12/1/2019,289000
East of England,  6/1/2020,290000
East of England,  3/1/2020,290000
East of England,  9/1/2020,295000
East of England, 12/1/2020,305000
East of England,  3/1/2021,318000
London,12/31/1995,72950
London, 3/31/1996,73000
London, 6/30/1996,74000
London, 9/30/1996,75000
London,12/31/1996,77000
London, 3/31/1997,79000
London, 6/30/1997,80995
London, 9/30/1997,83500
London,12/31/1997,86000
London, 3/31/1998,88000
London, 6/30/1998,91000
London, 9/30/1998,94950
London,12/31/1998,96500
London, 3/31/1999,99950
London, 6/30/1999,105000
London, 9/30/1999,111000
London,12/31/1999,118000
London, 3/31/2000,123500
London, 6/30/2000,129000
London, 9/30/2000,134000
London,12/31/2000,138000
London, 3/31/2001,141000
London, 6/30/2001,145000
London, 9/30/2001,150000
London,12/31/2001,155000
London, 3/31/2002,159475
London, 6/30/2002,165000
London, 9/30/2002,174000
London,12/31/2002,180000
London, 3/31/2003,186500
London, 6/30/2003,190000
London, 9/30/2003,195000
London,12/31/2003,200000
London, 3/31/2004,205000
London, 6/30/2004,210000
London, 9/30/2004,217000
London,12/31/2004,220000
London, 3/31/2005,225000
London, 6/30/2005,226995
London, 9/30/2005,229000
London,12/31/2005,230000
London, 3/31/2006,232000
London, 6/30/2006,235000
London, 9/30/2006,240000
London,12/31/2006,245000
London, 3/31/2007,248000
London, 6/30/2007,249999
London, 9/30/2009,250000
London, 6/30/2009,250000
London, 3/31/2009,250000
London,12/31/2009,250000
London, 9/30/2007,250000
London,12/31/2008,259000
London,12/31/2007,263000
London, 3/31/2010,265000
London, 9/30/2008,265000
London, 3/31/2008,267000
London, 6/30/2008,270000
London, 6/30/2010,275000
London, 9/30/2010,280000
London,12/31/2010,287500
London, 3/31/2012,289950
London, 6/30/2011,290000
London, 3/31/2011,290000
London,12/31/2011,292750
London, 9/30/2011,292800
London, 6/30/2012,295000
London, 9/30/2012,297500
London,12/31/2012,300000
London, 3/31/2013,310000
London, 6/30/2013,310000
London, 9/30/2013,315000
London,12/31/2013,323082.5
London, 3/31/2014,330000
London, 6/30/2014,341000
London, 9/30/2014,353000
London,12/31/2014,365000
London, 3/31/2015,375000
London, 6/30/2015,380000
London, 9/30/2015,390000
London,12/31/2015,400000
London, 3/31/2016,418500
London, 6/30/2016,426000
London, 9/30/2016,435000
London,12/31/2016,442000
London, 3/31/2017,445000
London, 6/30/2017,450000
London, 9/30/2017,460000
London,12/31/2017,465000
London,  6/1/2018,465500
London,  4/1/2018,467000
London,  9/1/2018,467500
London,  6/1/2019,467500
London,  3/1/2019,467500
London, 12/1/2018,467500
London,  9/1/2019,470000
London, 12/1/2019,475000
London,  3/1/2020,475918
London,  6/1/2020,478000
London,  9/1/2020,485000
London, 12/1/2020,495000
London,  3/1/2021,507000
North East,12/31/1995,42310
North East, 3/31/1996,42500
North East, 6/30/1996,42950
North East, 9/30/1996,43500
North East,12/31/1996,44500
North East, 3/31/1997,45000
North East, 6/30/1997,45950
North East, 9/30/1997,46500
North East,12/31/1997,46995
North East, 3/31/1998,47000
North East, 9/30/1998,47500
North East, 6/30/1998,47500
North East,12/31/1998,48000
North East, 3/31/1999,48500
North East, 6/30/1999,49000
North East, 9/30/1999,50000
North East,12/31/1999,50500
North East, 3/31/2000,51000
North East, 6/30/2000,52000
North East, 3/31/2001,52000
North East,12/31/2000,52000
